,encrypted_user_id,title,date,location,department,amount,description
2733,0,Bribe for Getting Marriage certifcate in Tanuku West Godavari Andhra Pradesh,2016-06-06 03:59:00+03:00,"Tanuku,AndhraPradesh",Marriage Certificate,2000,-
2734,0,For seat in sleeper coach,2016-06-06 23:56:00+03:00,"Mumbai,Maharashtra",Berth Allocation,100,-
2735,0,Paid 100/- bribe for a mistake in new city even was having helmet and all necessary documents,2016-06-06 05:06:00+03:00,"Ahmedabad,Gujarat",Traffic Violations,100,-
2736,0,Gave Rs 5000 for getting an authorization certificate from Sub registrar's office in Kazhakkottam,2016-06-06 01:51:00+03:00,"Trivandrum,Kerala",Others,5000,-
2737,0,Fine for not carrying rc book,2016-06-06 12:12:00+03:00,"Hyderabad,Telangana",General RTO related,100,-
2738,0,For registering shops and establishment,2016-05-06 02:59:00+03:00,"Bangalore,Karnataka",Shop Act License,1000,-
2739,0,Paid bribe for learners' license,2016-04-06 01:34:00+03:00,"Bangalore,Karnataka",Learners License,350,-
2740,0,2:00 P.m. at Abhyapuri,2016-04-06 14:58:00+03:00,"Abhayapuri,Assam",C Form,2000,-
2741,0,Report against a pricipal of school for bribe,2016-04-06 13:53:00+03:00,"Korba,Chhattisgarh",Admission to School,200000,-
2742,0,I was forced to pay in the name of tip.,2016-04-06 16:20:00+03:00,"Ahmedabad,Gujarat",Birth Certificate,2500,-
2743,0,Asked for bribe when he came for inspection!,2016-02-06 20:25:00+03:00,"Calicut,Kerala",VAT Registration,1000,-
2744,0,Theft of mobile phone,2016-02-06 09:31:00+03:00,"Mumbai,Maharashtra",Retrieval of lost items,1000,-
2745,0,Bribe for PF,2016-02-06 11:02:00+03:00,"Chennai,TamilNadu",Transfer PF to New Employer,4000,-
2746,0,"BDA Case worker asking for 5000 bribe for providing the documents in BDA, Bangalore Development Auth",2016-02-06 01:45:00+03:00,"Bangalore,Karnataka",Registration of Flat or Apartment,5000,-
2747,0,"Paid money to invetigate the case, apprehend culprits and recover property.",2016-01-06 17:51:00+03:00,"Bangalore,Karnataka",Crime Incident,9000,-
2748,0,Rs.1000/- bribe was paid to register the marriage,2016-05-31 01:12:00+03:00,"Miryalaguda,Telangana",Marriage Registration,1000,-
2749,0,For Birth Certificate of  new born baby.,2016-05-31 20:38:00+03:00,"Bangalore,Karnataka",Others,300,-
2750,0,Lost mobile and certificate to purchase new SIM,2016-05-31 13:28:00+03:00,"Chittoor,AndhraPradesh",Police Clearance Certificate,100,-
2751,0,Hemanta Gogoi Chairman Pollution Control Board Assam,2016-05-31 16:41:00+03:00,"Guwahati,Assam",NOC,1000000,-
2752,0,Paid bribe even I had local passport address proof and voter id card,2016-05-30 21:41:00+03:00,"Bangalore,Karnataka",Marriage Certificate,1000,-
2753,0,I paid 1700/- as bribe at Mubarakpur police station,2016-05-28 15:35:00+03:00,"Azamgarh,UttarPradesh",Police Verification for Passport,1700,-
2754,0,I Paid Rs. 20000 to Municipal Services in Jodhpur.,2016-05-28 00:08:00+03:00,"Jodhpur,Rajasthan",Birth Certificate,20000,-
2755,0,I Paid Rs. 1111 to Others in Punjaipugalur.,2016-05-28 00:48:00+03:00,"Punjaipugalur,TamilNadu",Others,1111,-
2756,0,I Paid Rs. 1 to Stamps and Registration in New Delhi.,2016-05-28 17:59:00+03:00,"NewDelhi,Delhi",Marriage Certificate,1,-
2757,0,Had to paid bribe for driving license,2016-05-28 02:43:00+03:00,"Warangal,Telangana",New Domestic Driving License,2000,-
2758,0,Aadhar Enrollment Center demanding money,2016-05-28 19:31:00+03:00,"Bangalore,Karnataka",Contract Work,250,-
2759,0,Transfer of a White Board Vehicle to Yellow Board.,2016-05-28 12:42:00+03:00,"Bangalore,Karnataka",Transfer of Vehicle Registration,10000,-
2760,0,I Paid Rs. 54 to Municipal Services in Abohar.,2016-05-28 02:03:00+03:00,"Abohar,Punjab",Birth Certificate,54,-
2761,0,I Paid Rs. 99000 to Others in Coimbatore.,2016-05-28 01:28:00+03:00,"Coimbatore,TamilNadu",Others,99000,-
2762,0,I Paid Rs. 300 to Police in Kolar.,2016-05-27 13:19:00+03:00,"Kolar,Karnataka",Traffic Violations,300,-
2763,0,I Paid Rs. 10 to Others in Indore.,2016-05-27 04:36:00+03:00,"Indore,MadhyaPradesh",Others,10,-
2764,0,BRIBE FOR NAME CHANGE,2016-05-27 08:06:00+03:00,"Coimbatore,TamilNadu",Change of Name in Records,1000,-
2765,0,"I Paid Rs. 25 to Commercial Tax, Sales Tax, VAT in Bhiwandi.",2016-05-27 14:14:00+03:00,"Bhiwandi,MadhyaPradesh",C Form,25,-
2766,0,I Paid Rs. 10 to Others in New Delhi.,2016-05-27 03:32:00+03:00,"NewDelhi,Delhi",Others,10,-
2767,0,I Paid Rs. 12542 to Passport in Gulbarga.,2016-05-27 19:14:00+03:00,"Gulbarga,Karnataka",Police Verification for Passport,12542,-
2768,0,I Paid Rs. 100 to Municipal Services in Abhayapuri.,2016-05-27 23:58:00+03:00,"Abhayapuri,Assam",Birth Certificate,100,-
2769,0,Police Verification Bribe,2016-05-27 12:43:00+03:00,"Trivandrum,Kerala",Police Verification for Passport,700,-
2770,0,I Paid Rs. 55 to Transport in Abohar.,2016-05-27 13:10:00+03:00,"Abohar,Punjab",New Domestic Driving License,55,-
2771,0,I Paid Rs. 100 to Income Tax in Islampur.,2016-05-26 22:35:00+03:00,"Islampur,WestBengal",New PAN Card,100,-
2772,0,I Paid Rs. 344 to Municipal Services in Abohar.,2016-05-26 20:13:00+03:00,"Abohar,Punjab",Birth Certificate,344,-
2773,0,NO PHYSICAL VERIFICATION,2016-05-26 21:45:00+03:00,"Jaunpur,UttarPradesh",New Passport Application,2000,-
2774,0,I Paid Rs. 2000 to Transport in Jaunpur.,2016-05-26 00:20:00+03:00,"Jaunpur,UttarPradesh",Registration of Vehicle,2000,-
2775,0,"I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Ambikapur.",2016-05-26 02:51:00+03:00,"Ambikapur,Chhattisgarh",Issue of Ration Card,2000,-
2776,0,I Paid Rs. 20 to Police in Achhnera.,2016-05-26 21:47:00+03:00,"Achhnera,UttarPradesh",Police Verification for Passport,20,-
2777,0,"I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Ganganagar.",2016-05-26 12:48:00+03:00,"Ganganagar,Rajasthan",C Form,100,-
2778,0,I Paid Rs. 234 to Municipal Services in Ahmedabad.,2016-05-26 06:59:00+03:00,"Ahmedabad,Gujarat",Birth Certificate,234,-
2779,0,I Paid Rs. 11 to Municipal Services in Hindupur.,2016-05-26 07:51:00+03:00,"Hindupur,AndhraPradesh",Birth Certificate,11,-
2780,0,Problem at Public Offices,2016-05-26 11:10:00+03:00,"Mumbai,Maharashtra",Bribing of Government Officers,20000,-
2781,0,I Paid Rs. 400 to Transport in Bardhaman.,2016-05-26 07:24:00+03:00,"Bardhaman,WestBengal",Registration of Vehicle,400,-
